"Sensor ID","PylumID","GUID","FQDN","Machine name","Internal IP address","External IP address","Site","Site ID","Anti-Ransomware mode","App Control mode","Isolated","Last seen","Last pylumID message update time","Sensor status","Service status","Last status action","Archived or unarchived comment","Sensor archived by user","Server name","Server ID","Server ip","OS","OS version","Data collection","Sensor version","Console version","First seen","Uptime","CPU usage","Memory usage","Outdated","Signatures mode state","Signature mode origin","PowerShell mode","Remote Shell Status","Anti-Malware mode","Anti-Malware mode origin","Last full scan","Last quick scan","Organization","Proxy address","Last prevention error","Last exit reason","Actions in progress","Pending actions","Last upgrade result","Department","Location","Critical Asset","Device Type","Custom Tags","AI detect mode","AI detect mode origin","AI prevent mode","AI prevent mode origin","Document protection status","Document protection mode","Assigned Policy","Policy ID","Policy Last Update","Compliance","Device control","Firewall control","Exploit protection mode","Signatures DB version","Last signatures update","Organizational unit","Group name","Serial number","Device model","Group assignment","BEP mode","VPP mode","Variant file prevention mode","Unique sensor key"
"641dce7ee4b022331ffdd291:PYLUMCLIENT_PHILIPPINES_011L-AREVILLA_00090FFE0001","PYLUMCLIENT_PHILIPPINES_011L-AREVILLA_00090FFE0001","1198069783.1198775089551518743","011l-arevilla.ph.intraxa","011l-arevilla","192.168.130.61","203.177.23.99","Primary","25593978","Unknown","Enabled","false","2024-12-26 01:49:44.000","2024-12-26 01:44:16.000","Stale","Down","None","","","entityfusion-39-t","641dce7ee4b022331ffdd291","10.147.8.17","Windows","Windows 11","Advanced","23.1.308.1","","2024-12-26 01:44:13.000","D0 00:02:01.000","0.0","0","false","Disabled","","Disabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Not available","","Not available","","Unknown","Unknown","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","","false","Disabled","Disabled","Disabled","","","","Philippines","PF46HAT7","12th Gen Intel(R) Core(TM) i7-1255U","Dynamic","Disabled","Disabled","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"6447fa2be4b015ef02163219:PYLUMCLIENT_PHILIPPINES_011L-CBURCE_607D09293D2D","PYLUMCLIENT_PHILIPPINES_011L-CBURCE_607D09293D2D","1802964948.1198775089551518743","011l-cburce.ph.intraxa","011l-cburce","192.168.100.31","136.158.59.46","Primary","25593978","Prevent","Enabled","false","2025-01-02 08:05:56.000","2025-01-02 08:00:15.000","Stale","Down","None","","","entityfusion-46-t","6447fa2be4b015ef02163219","10.147.7.204","Windows","Windows 11","Advanced","23.1.308.1","","2024-09-23 06:32:25.000","D21 08:07:19.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Cautious","","Cautious","","Detect","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2025-02-04 05:44:35.000","true","Disabled","Disabled","Cautious","","","","Philippines","PF4KHTXP","12th Gen Intel(R) Core(TM) i7-1265U","Dynamic","Detect","Detect","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"646b8b14e4b03a4edebac896:PYLUMCLIENT_ENTITYFUSION_011LC-NRAS_6C2408F4988B","PYLUMCLIENT_ENTITYFUSION_011LC-NRAS_6C2408F4988B","'-1521648374.1198775089551518743","011lc-nras.ph.intraxa","011lc-nras","192.168.0.4","112.198.98.48","Primary","25593978","Prevent","Enabled","false","2025-01-10 10:16:46.000","2025-01-08 01:35:25.000","Stale","Down","None","","","entityfusion-91-t","646b8b14e4b03a4edebac896","10.147.7.91","Windows","Windows 11","Advanced","23.1.308.1","","2024-06-19 10:55:58.000","D0 00:00:40.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Cautious","","Cautious","","Detect","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2025-01-27 07:17:07.000","true","Disabled","Disabled","Cautious","","","","Philippines","PF40AST8","11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz","Dynamic","Detect","Detect","Disabled","c8620485-a94f-4897-81d0-97250620becd"
"6447fb16e4b015ef02163220:PYLUMCLIENT_PHILIPPINES_011L-EGNAVARRO_00090FFE0001","PYLUMCLIENT_PHILIPPINES_011L-EGNAVARRO_00090FFE0001","1307074859.1198775089551518743","011l-egnavarro.ph.intraxa","011l-egnavarro","192.168.1.15","112.202.107.177","Primary","25593978","Prevent","Enabled","false","2024-12-26 06:39:48.000","2024-12-26 06:34:10.000","Stale","Down","None","","","entityfusion-51-t","6447fb16e4b015ef02163220","10.147.8.169","Windows","Windows 11","Advanced","23.1.308.1","","2024-05-24 07:26:30.000","D0 00:01:01.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Cautious","","Cautious","","Detect","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2024-12-26 06:34:09.000","true","Disabled","Disabled","Cautious","","","","Philippines","PF41SE03","12th Gen Intel(R) Core(TM) i5-1245U","Dynamic","Detect","Detect","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"60b413c5e4b09ad79db094e1:PYLUMCLIENT_PHILIPPINES_011L-EGUIRIBA_00090FFE0001","PYLUMCLIENT_PHILIPPINES_011L-EGUIRIBA_00090FFE0001","1820083471.1198775089551518743","011l-eguiriba.ph.intraxa","011l-eguiriba","192.168.130.51","203.177.23.99","Primary","25593978","Prevent","Enabled","false","2024-12-23 08:26:09.000","2024-12-23 08:26:06.000","Stale","Down","None","","","entityfusion-11-t","60b413c5e4b09ad79db094e1","10.147.7.71","Windows","Windows 11","Advanced","23.1.308.1","","2024-12-23 02:35:34.000","D0 00:34:15.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Moderate","","Cautious","","Disabled","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2024-12-23 08:01:54.000","false","Disabled","Disabled","Cautious","","","","Philippines","PF46H6J5","12th Gen Intel(R) Core(TM) i7-1255U","Dynamic","Detect","Disabled","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"6447fa2be4b015ef02163219:PYLUMCLIENT_PHILIPPINES_011L-EPATRICIO_00090FFE0001","PYLUMCLIENT_PHILIPPINES_011L-EPATRICIO_00090FFE0001","'-1171100117.1198775089551518743","011l-epatricio.ph.intraxa","011l-epatricio","192.168.18.81","110.93.85.158","Primary","25593978","Prevent","Enabled","false","2025-01-16 09:13:35.000","2025-01-16 09:08:06.000","Stale","Down","None","","","entityfusion-46-t","6447fa2be4b015ef02163219","10.147.7.204","Windows","Windows 11","Advanced","23.1.308.1","","2024-10-28 07:04:28.000","D1 23:09:40.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Cautious","","Cautious","","Detect","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2024-12-27 00:44:58.000","false","Disabled","Disabled","Cautious","","","","Philippines","PF5233NJ","13th Gen Intel(R) Core(TM) i7-1365U","Dynamic","Detect","Detect","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"6447fb9be4b015ef02163224:PYLUMCLIENT_PHILIPPINES_011L-ESPEDREZA_00090FFE0001","PYLUMCLIENT_PHILIPPINES_011L-ESPEDREZA_00090FFE0001","730528238.1198775089551518743","011l-espedreza.ph.intraxa","011l-espedreza","192.168.130.66","203.177.23.99","Primary","25593978","Unknown","Enabled","false","2024-12-26 05:40:07.000","2024-12-26 05:34:38.000","Stale","Down","None","","","entityfusion-54-t","6447fb9be4b015ef02163224","10.147.7.101","Windows","Windows 11","Advanced","23.1.308.1","","2024-12-26 05:32:54.000","D0 00:04:01.000","0.0","0","false","Disabled","","Disabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Not available","","Not available","","Unknown","Unknown","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","","false","Disabled","Disabled","Disabled","","","","Philippines","PF4JDNYK","12th Gen Intel(R) Core(TM) i5-1245U","Dynamic","Disabled","Disabled","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"60b413dfe4b09ad79db094e2:PYLUMCLIENT_PHILIPPINES_011L-JRDESAMITO_607D092999A9","PYLUMCLIENT_PHILIPPINES_011L-JRDESAMITO_607D092999A9","'-1044300177.1198775089551518743","011l-jrdesamito.ph.intraxa","011l-jrdesamito","172.20.10.2","175.176.41.80","Primary","25593978","Prevent","Enabled","false","2025-01-15 01:02:03.000","2025-01-15 00:57:03.000","Stale","Down","None","","","entityfusion-12-t","60b413dfe4b09ad79db094e2","10.147.6.243","Windows","Windows 11","Advanced","23.1.308.1","","2024-08-12 04:26:50.000","D0 00:00:17.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Cautious","","Cautious","","Detect","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2024-12-27 07:50:42.000","true","Disabled","Disabled","Cautious","","","","Philippines","PF41FDSP","12th Gen Intel(R) Core(TM) i5-1245U","Dynamic","Detect","Detect","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"646b88bae4b03a4edebac887:PYLUMCLIENT_PHILIPPINES_011L-LCOMETA_607D092999A9","PYLUMCLIENT_PHILIPPINES_011L-LCOMETA_607D092999A9","1849267875.1198775089551518743","011l-lcometa.ph.intraxa","011l-lcometa","192.168.1.11","122.2.121.29","Primary","25593978","Prevent","Enabled","false","2025-01-11 12:40:43.000","2025-01-11 12:35:33.000","Stale","Down","None","","","entityfusion-81-t","646b88bae4b03a4edebac887","10.147.6.245","Windows","Windows 11","Advanced","23.1.308.1","","2024-08-28 11:43:48.000","D2 10:29:04.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Cautious","","Cautious","","Detect","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2025-01-14 01:03:28.000","false","Disabled","Disabled","Cautious","","","","Philippines","PF4JE32B","12th Gen Intel(R) Core(TM) i5-1245U","Dynamic","Detect","Detect","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
"646b879fe4b03a4edebac87e:PYLUMCLIENT_PHILIPPINES_011L-MENRIQUEZ_00090FFE0001","PYLUMCLIENT_PHILIPPINES_011L-MENRIQUEZ_00090FFE0001","'-114365298.1198775089551518743","011l-menriquez.ph.intraxa","011l-menriquez","192.168.11.57","133.149.87.183","Primary","25593978","Prevent","Enabled","false","2025-01-07 14:41:14.000","2025-01-07 14:36:04.000","Stale","Down","None","","","entityfusion-75-t","646b879fe4b03a4edebac87e","10.147.10.190","Windows","Windows 11","Advanced","23.1.308.1","","2024-10-29 03:26:38.000","D0 10:36:16.000","0.0","0","false","Disabled","","Enabled","Enabled","Enabled","","Not performed","Not performed","Philippines","","","Stop request received from pylum","0","null","None","","","","","","Cautious","","Cautious","","Detect","Cautious","POL_ALL_ADV_2.1_Default (WKS-PRP-Enabled VFP-Disabled New-2024 features)","13294363-ec92-4210-a65a-f89a2f1ca195","2025-01-06 03:35:07.000","true","Disabled","Disabled","Cautious","","","","Philippines","PF5234PE","13th Gen Intel(R) Core(TM) i7-1365U","Dynamic","Detect","Detect","Disabled","30947680-2a07-4841-94f5-739b5e64a011"
